score,story,gemeente,woningtype,inkomen,opleiding,gender
6,Elke bijdrage helpt het klimaat.,Hoogeveen,Koopwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Westerveld,Sociale huurwoning,Rondom modaal,Basisschool,Anders
7,We moeten snel verduurzamen.,Coevorden,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
7,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
7,Ik ben groot voorstander van zon en wind.,Westerveld,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
7,We moeten snel verduurzamen.,Coevorden,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
7,Ik ben groot voorstander van zon en wind.,Westerveld,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Westerveld,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
3,"Zonnepanelen ja, maar op daken.",Coevorden,Huurwoning,Boven modaal,Middelbare school,Vrouw
7,Ik ben groot voorstander van zon en wind.,Assen,Particuliere huurwoning,Boven modaal,Middelbare school,Vrouw
6,Ik zie de voor- en nadelen.,Westerveld,Particuliere huurwoning,Boven modaal,Middelbare school,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Westerveld,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
1,Waarom moeten wij dit dragen?,Borger-Odoorn,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Westerveld,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
7,Elke bijdrage helpt het klimaat.,De Wolden,Huurwoning,Onder modaal,Basisschool,Man
6,Ik zie de voor- en nadelen.,Hoogeveen,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
7,We moeten snel verduurzamen.,Borger-Odoorn,Huurwoning,Boven modaal,Basisschool,Vrouw
7,We moeten snel verduurzamen.,Borger-Odoorn,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
7,We moeten snel verduurzamen.,De Wolden,Koopwoning,Boven modaal,Beroepsonderwijs,Vrouw
6,Het is goed voor de toekomst.,Emmen,Huurwoning,Rondom modaal,Basisschool,Anders
7,Elke bijdrage helpt het klimaat.,Assen,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
7,Elke bijdrage helpt het klimaat.,Emmen,Particuliere huurwoning,Onder modaal,Basisschool,Geen antwoord
3,"Zonnepanelen ja, maar op daken.",De Wolden,Particuliere huurwoning,Onder modaal,Middelbare school,Anders
7,Elke bijdrage helpt het klimaat.,Tynaarlo,Sociale huurwoning,Boven modaal,Basisschool,Geen antwoord
7,We moeten snel verduurzamen.,Tynaarlo,Sociale huurwoning,Boven modaal,Basisschool,Vrouw
7,We moeten snel verduurzamen.,Borger-Odoorn,Huurwoning,Boven modaal,Middelbare school,Vrouw
6,Ik zie de voor- en nadelen.,De Wolden,Huurwoning,Rondom modaal,Middelbare school,Geen antwoord
7,We moeten snel verduurzamen.,Tynaarlo,Huurwoning,Onder modaal,Middelbare school,Man
6,Duurzame energie is belangrijk.,Borger-Odoorn,Koopwoning,Rondom modaal,Beroepsonderwijs,Vrouw
6,Ik steun zonne- en windenergie als het netjes gebeurt.,Emmen,Sociale huurwoning,Boven modaal,Basisschool,Anders
7,Elke bijdrage helpt het klimaat.,Coevorden,Koopwoning,Boven modaal,Beroepsonderwijs,Vrouw
7,Ik ben groot voorstander van zon en wind.,Tynaarlo,Huurwoning,Onder modaal,Middelbare school,Anders
6,"Zolang het goed geregeld is, vind ik het prima.",Assen,Koopwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
3,"Duurzaam is goed, maar niet in onze wijk.",Assen,Sociale huurwoning,Onder modaal,Basisschool,Man
7,Ik ben groot voorstander van zon en wind.,De Wolden,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Man
7,Elke bijdrage helpt het klimaat.,Westerveld,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
7,Elke bijdrage helpt het klimaat.,Coevorden,Koopwoning,Boven modaal,Basisschool,Man
3,Niet ten koste van landbouwgrond.,De Wolden,Huurwoning,Onder modaal,Middelbare school,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Assen,Koopwoning,Rondom modaal,Middelbare school,Vrouw
3,"Zonnepanelen ja, maar op daken.",Emmen,Huurwoning,Boven modaal,Middelbare school,Man
6,Ik zie de voor- en nadelen.,Assen,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Emmen,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Vrouw
7,Ik ben groot voorstander van zon en wind.,Coevorden,Sociale huurwoning,Boven modaal,Middelbare school,Vrouw
7,Ik ben groot voorstander van zon en wind.,De Wolden,Koopwoning,Rondom modaal,Basisschool,Man
7,Elke bijdrage helpt het klimaat.,De Wolden,Sociale huurwoning,Onder modaal,Basisschool,Anders
7,Ik ben groot voorstander van zon en wind.,De Wolden,Huurwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Hoogeveen,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Man
1,Windmolens verstoren het landschap.,Coevorden,Huurwoning,Rondom modaal,Basisschool,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Assen,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Tynaarlo,Particuliere huurwoning,Boven modaal,Middelbare school,Geen antwoord
7,We moeten snel verduurzamen.,Emmen,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Man
6,Ik steun zonne- en windenergie als het netjes gebeurt.,Assen,Koopwoning,Boven modaal,Middelbare school,Man
7,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Particuliere huurwoning,Boven modaal,Middelbare school,Vrouw
3,"Zonnepanelen ja, maar op daken.",Coevorden,Particuliere huurwoning,Boven modaal,Basisschool,Geen antwoord
6,"Zolang het goed geregeld is, vind ik het prima.",Emmen,Huurwoning,Onder modaal,Beroepsonderwijs,Vrouw
7,We moeten snel verduurzamen.,Hoogeveen,Sociale huurwoning,Onder modaal,Basisschool,Anders
6,Ik zie de voor- en nadelen.,Emmen,Sociale huurwoning,Rondom modaal,Basisschool,Man
7,Ik ben groot voorstander van zon en wind.,Emmen,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
7,Elke bijdrage helpt het klimaat.,De Wolden,Sociale huurwoning,Boven modaal,Basisschool,Man
1,Waarom moeten wij dit dragen?,Assen,Huurwoning,Rondom modaal,Basisschool,Vrouw
6,Duurzame energie is belangrijk.,Westerveld,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
3,"Zonnepanelen ja, maar op daken.",Tynaarlo,Particuliere huurwoning,Onder modaal,Middelbare school,Anders
7,Elke bijdrage helpt het klimaat.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Middelbare school,Anders
7,We moeten snel verduurzamen.,Assen,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Geen antwoord
7,We moeten snel verduurzamen.,De Wolden,Huurwoning,Onder modaal,Middelbare school,Vrouw
3,"Zonnepanelen ja, maar op daken.",Westerveld,Particuliere huurwoning,Rondom modaal,Basisschool,Vrouw
7,We moeten snel verduurzamen.,De Wolden,Particuliere huurwoning,Rondom modaal,Middelbare school,Anders
7,We moeten snel verduurzamen.,Assen,Koopwoning,Onder modaal,Basisschool,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Emmen,Koopwoning,Onder modaal,Middelbare school,Anders
7,We moeten snel verduurzamen.,De Wolden,Huurwoning,Onder modaal,Basisschool,Man
7,Elke bijdrage helpt het klimaat.,Coevorden,Particuliere huurwoning,Boven modaal,Basisschool,Man
6,Het is goed voor de toekomst.,Hoogeveen,Huurwoning,Onder modaal,Middelbare school,Geen antwoord
6,Ik zie de voor- en nadelen.,Westerveld,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
7,We moeten snel verduurzamen.,Emmen,Particuliere huurwoning,Rondom modaal,Basisschool,Vrouw
7,Elke bijdrage helpt het klimaat.,Aa en Hunze,Koopwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Borger-Odoorn,Huurwoning,Boven modaal,Basisschool,Anders
7,Ik ben groot voorstander van zon en wind.,Hoogeveen,Koopwoning,Onder modaal,Middelbare school,Man
7,We moeten snel verduurzamen.,Hoogeveen,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
7,Ik ben groot voorstander van zon en wind.,Emmen,Huurwoning,Rondom modaal,Basisschool,Geen antwoord
7,We moeten snel verduurzamen.,Aa en Hunze,Sociale huurwoning,Onder modaal,Middelbare school,Geen antwoord
7,We moeten snel verduurzamen.,Aa en Hunze,Sociale huurwoning,Rondom modaal,Middelbare school,Vrouw
6,Duurzame energie is belangrijk.,Emmen,Particuliere huurwoning,Rondom modaal,Basisschool,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Coevorden,Koopwoning,Rondom modaal,Basisschool,Man
7,We moeten snel verduurzamen.,Westerveld,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
7,Elke bijdrage helpt het klimaat.,Emmen,Huurwoning,Onder modaal,Middelbare school,Man
6,Ik steun zonne- en windenergie als het netjes gebeurt.,Aa en Hunze,Particuliere huurwoning,Onder modaal,Beroepsonderwijs,Anders
7,Ik ben groot voorstander van zon en wind.,De Wolden,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
6,Duurzame energie is belangrijk.,De Wolden,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Anders
7,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Boven modaal,Basisschool,Anders
7,Elke bijdrage helpt het klimaat.,Coevorden,Koopwoning,Onder modaal,Middelbare school,Man
7,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Boven modaal,Middelbare school,Anders
6,Het is goed voor de toekomst.,Assen,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
7,We moeten snel verduurzamen.,Tynaarlo,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
7,We moeten snel verduurzamen.,Westerveld,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
3,"Duurzaam is goed, maar niet in onze wijk.",Borger-Odoorn,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Man
7,We moeten snel verduurzamen.,Tynaarlo,Koopwoning,Boven modaal,Basisschool,Man
3,"Zonnepanelen ja, maar op daken.",Hoogeveen,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Man
6,Het is goed voor de toekomst.,Aa en Hunze,Koopwoning,Rondom modaal,Beroepsonderwijs,Anders
7,We moeten snel verduurzamen.,Aa en Hunze,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Man
7,Elke bijdrage helpt het klimaat.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Basisschool,Man
6,Ik ben neutraal over dit onderwerp.,Borger-Odoorn,Particuliere huurwoning,Onder modaal,Middelbare school,Vrouw
1,Ik ben tegen zonneparken in onze buurt.,Westerveld,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
6,Ik ben neutraal over dit onderwerp.,Tynaarlo,Koopwoning,Rondom modaal,Middelbare school,Man
7,Elke bijdrage helpt het klimaat.,Westerveld,Huurwoning,Rondom modaal,Basisschool,Vrouw
7,We moeten snel verduurzamen.,De Wolden,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
7,We moeten snel verduurzamen.,Coevorden,Huurwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Borger-Odoorn,Koopwoning,Boven modaal,Basisschool,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Tynaarlo,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
7,Elke bijdrage helpt het klimaat.,De Wolden,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
7,Ik ben groot voorstander van zon en wind.,Coevorden,Sociale huurwoning,Boven modaal,Beroepsonderwijs,Man
1,Ik ben tegen zonneparken in onze buurt.,Hoogeveen,Huurwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Tynaarlo,Koopwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Hoogeveen,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Westerveld,Particuliere huurwoning,Rondom modaal,Middelbare school,Man
7,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
6,"Zolang het goed geregeld is, vind ik het prima.",Westerveld,Particuliere huurwoning,Boven modaal,Basisschool,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Westerveld,Huurwoning,Onder modaal,Basisschool,Vrouw
7,Ik ben groot voorstander van zon en wind.,Emmen,Sociale huurwoning,Rondom modaal,Middelbare school,Anders
6,"Zolang het goed geregeld is, vind ik het prima.",Westerveld,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Anders
7,Ik ben groot voorstander van zon en wind.,Assen,Sociale huurwoning,Boven modaal,Basisschool,Man
7,We moeten snel verduurzamen.,Hoogeveen,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Man
7,Ik ben groot voorstander van zon en wind.,Westerveld,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
7,We moeten snel verduurzamen.,De Wolden,Particuliere huurwoning,Onder modaal,Basisschool,Vrouw
7,Ik ben groot voorstander van zon en wind.,Hoogeveen,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Anders
7,Elke bijdrage helpt het klimaat.,Coevorden,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
7,Elke bijdrage helpt het klimaat.,Tynaarlo,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Tynaarlo,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
3,Niet ten koste van landbouwgrond.,Borger-Odoorn,Particuliere huurwoning,Onder modaal,Middelbare school,Anders
6,Ik ben neutraal over dit onderwerp.,Westerveld,Huurwoning,Boven modaal,Middelbare school,Anders
7,Ik ben groot voorstander van zon en wind.,Emmen,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Man
7,Ik ben groot voorstander van zon en wind.,Emmen,Particuliere huurwoning,Onder modaal,Middelbare school,Anders
7,Ik ben groot voorstander van zon en wind.,Westerveld,Sociale huurwoning,Rondom modaal,Basisschool,Vrouw
7,Ik ben groot voorstander van zon en wind.,Tynaarlo,Koopwoning,Boven modaal,Middelbare school,Geen antwoord
6,Ik zie de voor- en nadelen.,Westerveld,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
7,Ik ben groot voorstander van zon en wind.,Hoogeveen,Huurwoning,Onder modaal,Basisschool,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Huurwoning,Onder modaal,Middelbare school,Anders
7,We moeten snel verduurzamen.,De Wolden,Particuliere huurwoning,Rondom modaal,Basisschool,Vrouw
7,Elke bijdrage helpt het klimaat.,Hoogeveen,Huurwoning,Boven modaal,Beroepsonderwijs,Man
7,Elke bijdrage helpt het klimaat.,Westerveld,Huurwoning,Boven modaal,Basisschool,Anders
7,Elke bijdrage helpt het klimaat.,Tynaarlo,Koopwoning,Rondom modaal,Basisschool,Man
7,We moeten snel verduurzamen.,Tynaarlo,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
7,We moeten snel verduurzamen.,Emmen,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Emmen,Koopwoning,Rondom modaal,Middelbare school,Anders
6,Ik zie de voor- en nadelen.,Borger-Odoorn,Particuliere huurwoning,Onder modaal,Middelbare school,Anders
7,Elke bijdrage helpt het klimaat.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Basisschool,Vrouw
7,Elke bijdrage helpt het klimaat.,Borger-Odoorn,Huurwoning,Boven modaal,Middelbare school,Anders
3,Niet ten koste van landbouwgrond.,Borger-Odoorn,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Aa en Hunze,Koopwoning,Onder modaal,Beroepsonderwijs,Anders
7,Elke bijdrage helpt het klimaat.,Assen,Particuliere huurwoning,Onder modaal,Middelbare school,Man
7,Elke bijdrage helpt het klimaat.,Aa en Hunze,Particuliere huurwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
7,We moeten snel verduurzamen.,Aa en Hunze,Koopwoning,Rondom modaal,Middelbare school,Geen antwoord
7,We moeten snel verduurzamen.,Westerveld,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
7,Elke bijdrage helpt het klimaat.,Coevorden,Sociale huurwoning,Onder modaal,Basisschool,Man
7,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Man
6,"Zolang het goed geregeld is, vind ik het prima.",Emmen,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Man
7,We moeten snel verduurzamen.,Assen,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Coevorden,Sociale huurwoning,Rondom modaal,Middelbare school,Geen antwoord
3,"Zonnepanelen ja, maar op daken.",Westerveld,Koopwoning,Rondom modaal,Basisschool,Anders
7,Elke bijdrage helpt het klimaat.,Assen,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
7,Elke bijdrage helpt het klimaat.,Coevorden,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
6,Het is goed voor de toekomst.,Assen,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
7,Ik ben groot voorstander van zon en wind.,Coevorden,Koopwoning,Boven modaal,Basisschool,Man
6,Ik steun zonne- en windenergie als het netjes gebeurt.,Hoogeveen,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
7,We moeten snel verduurzamen.,Westerveld,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Man
7,We moeten snel verduurzamen.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
