score,story,gemeente,woningtype,inkomen,opleiding,gender
5,We moeten snel verduurzamen.,Tynaarlo,Huurwoning,Onder modaal,Beroepsonderwijs,Man
5,Elke bijdrage helpt het klimaat.,De Wolden,Huurwoning,Rondom modaal,Middelbare school,Vrouw
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Koopwoning,Onder modaal,Basisschool,Vrouw
5,Ik ben groot voorstander van zon en wind.,Coevorden,Huurwoning,Rondom modaal,Beroepsonderwijs,Man
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Huurwoning,Boven modaal,Middelbare school,Anders
5,We moeten snel verduurzamen.,Assen,Koopwoning,Boven modaal,Beroepsonderwijs,Vrouw
5,We moeten snel verduurzamen.,Aa en Hunze,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Sociale huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
4,Duurzame energie is belangrijk.,Westerveld,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,Elke bijdrage helpt het klimaat.,Hoogeveen,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
2,"Zonnepanelen ja, maar op daken.",De Wolden,Huurwoning,Rondom modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Geen antwoord
5,We moeten snel verduurzamen.,Coevorden,Sociale huurwoning,Boven modaal,Middelbare school,Anders
4,Het is goed voor de toekomst.,Tynaarlo,Huurwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Huurwoning,Boven modaal,Middelbare school,Vrouw
5,Elke bijdrage helpt het klimaat.,De Wolden,Koopwoning,Onder modaal,Basisschool,Anders
5,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
5,Elke bijdrage helpt het klimaat.,Assen,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
1,Windmolens verstoren het landschap.,Westerveld,Particuliere huurwoning,Rondom modaal,Basisschool,Geen antwoord
1,Ik ben tegen zonneparken in onze buurt.,Assen,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
2,"Duurzaam is goed, maar niet in onze wijk.",Assen,Huurwoning,Onder modaal,Middelbare school,Anders
5,We moeten snel verduurzamen.,Aa en Hunze,Koopwoning,Onder modaal,Basisschool,Man
3,Ik ben neutraal over dit onderwerp.,Tynaarlo,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Koopwoning,Onder modaal,Middelbare school,Anders
2,"Zonnepanelen ja, maar op daken.",Coevorden,Huurwoning,Onder modaal,Basisschool,Geen antwoord
2,"Duurzaam is goed, maar niet in onze wijk.",Coevorden,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Man
1,Windmolens verstoren het landschap.,Westerveld,Particuliere huurwoning,Onder modaal,Beroepsonderwijs,Vrouw
5,We moeten snel verduurzamen.,Coevorden,Huurwoning,Rondom modaal,Beroepsonderwijs,Vrouw
5,We moeten snel verduurzamen.,Emmen,Sociale huurwoning,Boven modaal,Basisschool,Man
2,Niet ten koste van landbouwgrond.,Hoogeveen,Sociale huurwoning,Boven modaal,Beroepsonderwijs,Anders
5,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
3,"Zolang het goed geregeld is, vind ik het prima.",Coevorden,Particuliere huurwoning,Rondom modaal,Middelbare school,Anders
3,"Zolang het goed geregeld is, vind ik het prima.",De Wolden,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
1,Ik ben tegen zonneparken in onze buurt.,De Wolden,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,We moeten snel verduurzamen.,De Wolden,Koopwoning,Boven modaal,Basisschool,Man
5,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,We moeten snel verduurzamen.,Borger-Odoorn,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Assen,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,We moeten snel verduurzamen.,Borger-Odoorn,Huurwoning,Onder modaal,Beroepsonderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Westerveld,Koopwoning,Onder modaal,Middelbare school,Man
5,We moeten snel verduurzamen.,Aa en Hunze,Koopwoning,Boven modaal,Basisschool,Anders
5,Elke bijdrage helpt het klimaat.,Assen,Koopwoning,Onder modaal,Basisschool,Vrouw
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Sociale huurwoning,Rondom modaal,Basisschool,Vrouw
4,Het is goed voor de toekomst.,Assen,Koopwoning,Onder modaal,Middelbare school,Anders
5,Ik ben groot voorstander van zon en wind.,Coevorden,Koopwoning,Onder modaal,Middelbare school,Man
5,We moeten snel verduurzamen.,Hoogeveen,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,We moeten snel verduurzamen.,Emmen,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Vrouw
1,Waarom moeten wij dit dragen?,Westerveld,Particuliere huurwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
5,We moeten snel verduurzamen.,Aa en Hunze,Huurwoning,Rondom modaal,Beroepsonderwijs,Anders
5,We moeten snel verduurzamen.,Tynaarlo,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Elke bijdrage helpt het klimaat.,Emmen,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,De Wolden,Particuliere huurwoning,Onder modaal,Middelbare school,Geen antwoord
3,Ik zie de voor- en nadelen.,Aa en Hunze,Huurwoning,Rondom modaal,Basisschool,Vrouw
5,Elke bijdrage helpt het klimaat.,Westerveld,Koopwoning,Boven modaal,Middelbare school,Geen antwoord
5,Elke bijdrage helpt het klimaat.,Borger-Odoorn,Particuliere huurwoning,Rondom modaal,Basisschool,Man
5,Elke bijdrage helpt het klimaat.,De Wolden,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,We moeten snel verduurzamen.,Borger-Odoorn,Sociale huurwoning,Onder modaal,Basisschool,Vrouw
5,We moeten snel verduurzamen.,De Wolden,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Huurwoning,Rondom modaal,Middelbare school,Geen antwoord
5,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Rondom modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Emmen,Sociale huurwoning,Boven modaal,Middelbare school,Anders
3,"Zolang het goed geregeld is, vind ik het prima.",Tynaarlo,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Coevorden,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
5,We moeten snel verduurzamen.,Coevorden,Particuliere huurwoning,Onder modaal,Middelbare school,Vrouw
2,"Zonnepanelen ja, maar op daken.",Emmen,Huurwoning,Onder modaal,Middelbare school,Geen antwoord
2,Niet ten koste van landbouwgrond.,Coevorden,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Vrouw
2,Niet ten koste van landbouwgrond.,Tynaarlo,Particuliere huurwoning,Onder modaal,Beroepsonderwijs,Anders
1,Waarom moeten wij dit dragen?,Emmen,Koopwoning,Onder modaal,Basisschool,Geen antwoord
5,We moeten snel verduurzamen.,Emmen,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
2,"Duurzaam is goed, maar niet in onze wijk.",De Wolden,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,Westerveld,Huurwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
3,"Zolang het goed geregeld is, vind ik het prima.",Emmen,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
2,"Zonnepanelen ja, maar op daken.",Borger-Odoorn,Particuliere huurwoning,Boven modaal,Basisschool,Anders
5,We moeten snel verduurzamen.,Hoogeveen,Particuliere huurwoning,Rondom modaal,Middelbare school,Anders
2,Niet ten koste van landbouwgrond.,De Wolden,Huurwoning,Rondom modaal,Basisschool,Man
3,"Zolang het goed geregeld is, vind ik het prima.",De Wolden,Huurwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
1,Windmolens verstoren het landschap.,De Wolden,Huurwoning,Onder modaal,Beroepsonderwijs,Vrouw
5,We moeten snel verduurzamen.,Emmen,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
2,Niet ten koste van landbouwgrond.,De Wolden,Koopwoning,Rondom modaal,Middelbare school,Vrouw
5,We moeten snel verduurzamen.,Borger-Odoorn,Koopwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,We moeten snel verduurzamen.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Emmen,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
3,Ik ben neutraal over dit onderwerp.,Westerveld,Particuliere huurwoning,Rondom modaal,Middelbare school,Man
1,Ik ben tegen zonneparken in onze buurt.,Coevorden,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
5,We moeten snel verduurzamen.,De Wolden,Particuliere huurwoning,Onder modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Huurwoning,Rondom modaal,Basisschool,Anders
3,Ik ben neutraal over dit onderwerp.,Coevorden,Sociale huurwoning,Boven modaal,Basisschool,Vrouw
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Huurwoning,Boven modaal,Basisschool,Man
3,Ik ben neutraal over dit onderwerp.,Borger-Odoorn,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
1,Ik ben tegen zonneparken in onze buurt.,Westerveld,Koopwoning,Boven modaal,Basisschool,Anders
3,Ik zie de voor- en nadelen.,Tynaarlo,Particuliere huurwoning,Rondom modaal,Middelbare school,Man
5,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Koopwoning,Onder modaal,Beroepsonderwijs,Man
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Koopwoning,Onder modaal,Basisschool,Anders
5,Elke bijdrage helpt het klimaat.,Borger-Odoorn,Koopwoning,Boven modaal,Basisschool,Anders
5,Elke bijdrage helpt het klimaat.,Coevorden,Sociale huurwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
5,We moeten snel verduurzamen.,Aa en Hunze,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
5,Elke bijdrage helpt het klimaat.,De Wolden,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Anders
5,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,Elke bijdrage helpt het klimaat.,Coevorden,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Vrouw
5,We moeten snel verduurzamen.,Tynaarlo,Particuliere huurwoning,Onder modaal,Basisschool,Man
5,We moeten snel verduurzamen.,De Wolden,Particuliere huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
5,We moeten snel verduurzamen.,Borger-Odoorn,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
1,Windmolens verstoren het landschap.,Tynaarlo,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
5,Elke bijdrage helpt het klimaat.,Emmen,Particuliere huurwoning,Rondom modaal,Middelbare school,Man
5,Ik ben groot voorstander van zon en wind.,Coevorden,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,We moeten snel verduurzamen.,Aa en Hunze,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,We moeten snel verduurzamen.,Emmen,Koopwoning,Onder modaal,Basisschool,Man
5,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Anders
3,Ik ben neutraal over dit onderwerp.,Coevorden,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
2,Niet ten koste van landbouwgrond.,Emmen,Huurwoning,Onder modaal,Beroepsonderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Sociale huurwoning,Onder modaal,Basisschool,Vrouw
5,We moeten snel verduurzamen.,Westerveld,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
5,We moeten snel verduurzamen.,Hoogeveen,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Geen antwoord
5,We moeten snel verduurzamen.,Coevorden,Particuliere huurwoning,Boven modaal,Middelbare school,Anders
3,"Zolang het goed geregeld is, vind ik het prima.",Westerveld,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Man
5,We moeten snel verduurzamen.,De Wolden,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,We moeten snel verduurzamen.,Emmen,Particuliere huurwoning,Boven modaal,Basisschool,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Coevorden,Particuliere huurwoning,Onder modaal,Middelbare school,Man
1,Waarom moeten wij dit dragen?,Emmen,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Huurwoning,Onder modaal,Middelbare school,Geen antwoord
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Huurwoning,Onder modaal,Basisschool,Geen antwoord
5,Elke bijdrage helpt het klimaat.,De Wolden,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Anders
5,We moeten snel verduurzamen.,Coevorden,Huurwoning,Onder modaal,Beroepsonderwijs,Vrouw
5,Elke bijdrage helpt het klimaat.,Hoogeveen,Koopwoning,Rondom modaal,Middelbare school,Anders
5,Ik ben groot voorstander van zon en wind.,Westerveld,Particuliere huurwoning,Onder modaal,Middelbare school,Vrouw
5,We moeten snel verduurzamen.,Assen,Huurwoning,Onder modaal,Middelbare school,Man
4,Ik steun zonne- en windenergie als het netjes gebeurt.,Aa en Hunze,Particuliere huurwoning,Rondom modaal,Basisschool,Man
5,We moeten snel verduurzamen.,Westerveld,Particuliere huurwoning,Rondom modaal,Middelbare school,Anders
3,Ik ben neutraal over dit onderwerp.,Emmen,Particuliere huurwoning,Boven modaal,Middelbare school,Man
5,Elke bijdrage helpt het klimaat.,Tynaarlo,Sociale huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Elke bijdrage helpt het klimaat.,Borger-Odoorn,Koopwoning,Boven modaal,Beroepsonderwijs,Man
5,Ik ben groot voorstander van zon en wind.,Hoogeveen,Particuliere huurwoning,Boven modaal,Middelbare school,Man
5,Ik ben groot voorstander van zon en wind.,Assen,Huurwoning,Onder modaal,Middelbare school,Man
5,We moeten snel verduurzamen.,Aa en Hunze,Huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,We moeten snel verduurzamen.,Emmen,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
5,We moeten snel verduurzamen.,Coevorden,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
5,We moeten snel verduurzamen.,De Wolden,Huurwoning,Onder modaal,Middelbare school,Man
3,"Zolang het goed geregeld is, vind ik het prima.",Hoogeveen,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
1,Waarom moeten wij dit dragen?,Borger-Odoorn,Particuliere huurwoning,Rondom modaal,Middelbare school,Anders
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Particuliere huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Onder modaal,Middelbare school,Vrouw
5,Ik ben groot voorstander van zon en wind.,De Wolden,Koopwoning,Onder modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Hoogeveen,Koopwoning,Onder modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Koopwoning,Onder modaal,Basisschool,Geen antwoord
5,Ik ben groot voorstander van zon en wind.,Coevorden,Koopwoning,Onder modaal,Beroepsonderwijs,Geen antwoord
2,"Zonnepanelen ja, maar op daken.",Assen,Particuliere huurwoning,Onder modaal,Middelbare school,Vrouw
4,Duurzame energie is belangrijk.,De Wolden,Huurwoning,Onder modaal,Basisschool,Anders
5,Elke bijdrage helpt het klimaat.,De Wolden,Particuliere huurwoning,Onder modaal,Basisschool,Anders
5,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Boven modaal,Middelbare school,Anders
5,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,Westerveld,Sociale huurwoning,Rondom modaal,Basisschool,Anders
5,Elke bijdrage helpt het klimaat.,Westerveld,Particuliere huurwoning,Rondom modaal,Middelbare school,Man
5,Ik ben groot voorstander van zon en wind.,Coevorden,Particuliere huurwoning,Onder modaal,Middelbare school,Geen antwoord
5,We moeten snel verduurzamen.,Westerveld,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Koopwoning,Boven modaal,Basisschool,Anders
5,We moeten snel verduurzamen.,Emmen,Koopwoning,Rondom modaal,Middelbare school,Anders
3,Ik ben neutraal over dit onderwerp.,Borger-Odoorn,Sociale huurwoning,Rondom modaal,Middelbare school,Anders
5,We moeten snel verduurzamen.,Assen,Huurwoning,Rondom modaal,Middelbare school,Anders
1,Ik ben tegen zonneparken in onze buurt.,Assen,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Tynaarlo,Sociale huurwoning,Rondom modaal,Basisschool,Man
5,Elke bijdrage helpt het klimaat.,Westerveld,Sociale huurwoning,Boven modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Emmen,Sociale huurwoning,Onder modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Assen,Sociale huurwoning,Boven modaal,Basisschool,Anders
5,We moeten snel verduurzamen.,Assen,Koopwoning,Onder modaal,Middelbare school,Man
5,Elke bijdrage helpt het klimaat.,Emmen,Sociale huurwoning,Onder modaal,Middelbare school,Man
5,Ik ben groot voorstander van zon en wind.,Westerveld,Koopwoning,Rondom modaal,Middelbare school,Geen antwoord
5,We moeten snel verduurzamen.,Coevorden,Sociale huurwoning,Boven modaal,Middelbare school,Anders
4,Ik steun zonne- en windenergie als het netjes gebeurt.,Tynaarlo,Huurwoning,Rondom modaal,Middelbare school,Geen antwoord
4,Het is goed voor de toekomst.,Tynaarlo,Koopwoning,Boven modaal,Middelbare school,Vrouw
5,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Rondom modaal,Basisschool,Man
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Koopwoning,Rondom modaal,Beroepsonderwijs,Man
5,Ik ben groot voorstander van zon en wind.,Coevorden,Particuliere huurwoning,Onder modaal,Beroepsonderwijs,Vrouw
5,Elke bijdrage helpt het klimaat.,Assen,Huurwoning,Boven modaal,Middelbare school,Man
5,We moeten snel verduurzamen.,Borger-Odoorn,Particuliere huurwoning,Rondom modaal,Beroepsonderwijs,Geen antwoord
2,"Duurzaam is goed, maar niet in onze wijk.",Westerveld,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Assen,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
5,Elke bijdrage helpt het klimaat.,Hoogeveen,Particuliere huurwoning,Rondom modaal,Middelbare school,Man
5,Ik ben groot voorstander van zon en wind.,De Wolden,Particuliere huurwoning,Boven modaal,Middelbare school,Anders
4,Het is goed voor de toekomst.,Hoogeveen,Huurwoning,Boven modaal,Beroepsonderwijs,Vrouw
5,Elke bijdrage helpt het klimaat.,Westerveld,Sociale huurwoning,Rondom modaal,Basisschool,Anders
5,We moeten snel verduurzamen.,Westerveld,Koopwoning,Onder modaal,Basisschool,Vrouw
5,Ik ben groot voorstander van zon en wind.,Assen,Particuliere huurwoning,Boven modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Westerveld,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Vrouw
5,We moeten snel verduurzamen.,Coevorden,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
4,Ik steun zonne- en windenergie als het netjes gebeurt.,Tynaarlo,Sociale huurwoning,Rondom modaal,Beroepsonderwijs,Man
5,We moeten snel verduurzamen.,Emmen,Particuliere huurwoning,Boven modaal,Basisschool,Man
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Sociale huurwoning,Boven modaal,Middelbare school,Man
5,We moeten snel verduurzamen.,Hoogeveen,Sociale huurwoning,Boven modaal,Middelbare school,Vrouw
5,We moeten snel verduurzamen.,Hoogeveen,Particuliere huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Geen antwoord
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Huurwoning,Boven modaal,Middelbare school,Man
2,"Zonnepanelen ja, maar op daken.",Westerveld,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,Emmen,Koopwoning,Rondom modaal,Basisschool,Anders
1,Windmolens verstoren het landschap.,Tynaarlo,Sociale huurwoning,Boven modaal,Middelbare school,Man
5,Elke bijdrage helpt het klimaat.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Beroepsonderwijs,Man
5,Ik ben groot voorstander van zon en wind.,Westerveld,Huurwoning,Rondom modaal,Basisschool,Anders
4,Ik steun zonne- en windenergie als het netjes gebeurt.,Hoogeveen,Koopwoning,Rondom modaal,Beroepsonderwijs,Man
5,Elke bijdrage helpt het klimaat.,Emmen,Particuliere huurwoning,Onder modaal,Middelbare school,Geen antwoord
5,Elke bijdrage helpt het klimaat.,Coevorden,Sociale huurwoning,Onder modaal,Wetenschappelijk onderwijs,Vrouw
5,We moeten snel verduurzamen.,Coevorden,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
5,We moeten snel verduurzamen.,Assen,Sociale huurwoning,Rondom modaal,Middelbare school,Anders
5,We moeten snel verduurzamen.,Hoogeveen,Koopwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
2,Niet ten koste van landbouwgrond.,De Wolden,Sociale huurwoning,Rondom modaal,Middelbare school,Vrouw
5,Ik ben groot voorstander van zon en wind.,Emmen,Koopwoning,Boven modaal,Basisschool,Anders
5,We moeten snel verduurzamen.,Aa en Hunze,Huurwoning,Boven modaal,Beroepsonderwijs,Man
5,We moeten snel verduurzamen.,Westerveld,Sociale huurwoning,Rondom modaal,Middelbare school,Man
5,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Man
5,Elke bijdrage helpt het klimaat.,Coevorden,Huurwoning,Rondom modaal,Wetenschappelijk onderwijs,Anders
1,Windmolens verstoren het landschap.,Westerveld,Particuliere huurwoning,Onder modaal,Basisschool,Geen antwoord
5,We moeten snel verduurzamen.,Aa en Hunze,Particuliere huurwoning,Boven modaal,Basisschool,Vrouw
5,We moeten snel verduurzamen.,Emmen,Koopwoning,Onder modaal,Beroepsonderwijs,Anders
5,Ik ben groot voorstander van zon en wind.,Hoogeveen,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
2,"Duurzaam is goed, maar niet in onze wijk.",Assen,Koopwoning,Boven modaal,Beroepsonderwijs,Geen antwoord
5,We moeten snel verduurzamen.,De Wolden,Particuliere huurwoning,Onder modaal,Beroepsonderwijs,Anders
3,Ik zie de voor- en nadelen.,Emmen,Huurwoning,Onder modaal,Middelbare school,Vrouw
5,Ik ben groot voorstander van zon en wind.,Borger-Odoorn,Koopwoning,Boven modaal,Wetenschappelijk onderwijs,Geen antwoord
5,We moeten snel verduurzamen.,De Wolden,Huurwoning,Rondom modaal,Beroepsonderwijs,Anders
5,Elke bijdrage helpt het klimaat.,Westerveld,Sociale huurwoning,Boven modaal,Basisschool,Vrouw
4,Ik steun zonne- en windenergie als het netjes gebeurt.,De Wolden,Sociale huurwoning,Boven modaal,Wetenschappelijk onderwijs,Anders
5,Elke bijdrage helpt het klimaat.,Tynaarlo,Sociale huurwoning,Boven modaal,Middelbare school,Geen antwoord
2,"Zonnepanelen ja, maar op daken.",Borger-Odoorn,Huurwoning,Boven modaal,Wetenschappelijk onderwijs,Vrouw
5,Ik ben groot voorstander van zon en wind.,Aa en Hunze,Huurwoning,Boven modaal,Middelbare school,Geen antwoord
